ggkbase_id,genome_id
SR-VP_11_27_2022_S1_80cm_Methanoperedens_44_5,mp_4
SR-VP_05_06_2024_ck_bottom_Methanoperedens_44_47,mp_1
SR-VP_05_06_2024_N_top_Methanoperedens_44_14,mp_3
SR-VP_05_06_2024_N_top_Candidatus_Methanoperedens_Black-host_type_44_27,mp_5
SR-VP_05_06_2024_ck_bottom_Methanoperedens_41_16,mp_2
SR-VP_05_06_2024_coassembly_Jupiter_mini-Borg_33_21,jupiter_mini_borg_1
SR-VP_05_06_2024_coassembly_Jupiter_mini-Borg_32_5,jupiter_mini_borg_2
SR-VP_05_06_2024_coassembly_Jupiter_mini-Borg_34_1246,jupiter_mini_borg_3
SR-VP_05_06_2024_coassembly_Jupiter_mini-Borg_36_6,jupiter_mini_borg_4
SR-VP_05_06_2024_coassembly_Jupiter_mini-Borg_35_3,jupiter_mini_borg_6
SR-VP_05_06_2024_coassembly_Jupiter_mini-Borg_33_6,jupiter_mini_borg_7
SR-VP_05_06_2024_coassembly_Jupiter_mini-Borg_31_4,jupiter_mini_borg_8
SR-VP_05_06_2024_coassembly_Jupiter_mini-Borg_35_6,jupiter_mini_borg_9
SR-VP_05_06_2024_coassembly_Saturn_mini-Borg_35_7,saturn_mini_borg_1
SR-VP_05_06_2024_coassembly_Saturn_mini-Borg_32_200,saturn_mini_borg_2
SR-VP_05_06_2024_coassembly_Saturn_mini-Borg_33_3,saturn_mini_borg_3
SR-VP_05_06_2024_coassembly_Saturn_mini-Borg_33_4,saturn_mini_borg_4
SR-VP_05_06_2024_coassembly_mini-Borg_reminscent_42_6-8,unclassified_mini_borg
SR-VP_05_06_2024_coassembly_new_Borg_34_11,unclassified_borg
SR-VP_05_06_2024_coassembly_Amethyst_Borg_34_3,amethyst_borg
SR-VP_05_06_2024_coassembly_Oxblood_Borg_33_20,oxblood_borg
SR-VP_05_06_2024_coassembly_Pink_Borg_32_55,pink_borg
SR-VP_05_06_2024_coassembly_Purple_Borg_33_3,purple_borg
SR-VP_05_06_2024_coassembly_Rose_Borg_31_2,rose_borg
SR-VP_05_06_2024_coassembly_Vermilion_Borg_34_8,vermilion_borg
SR-VP_05_06_2024_coassembly_Mercury_mini-Borg_37_9,mercury_mini_borg
SR-VP_05_06_2024_coassembly_Saturn_mini-Borg-like_32_7,saturn_mini_borg_like
SR-VP_05_06_2024_coassembly_Ruby-Borg-related_37_10,ruby_borg_related
SR-VP_05_06_2024_coassembly_Black_Borg_32_272,black_borg
Final_SR-VP_05_06_2024_coassembly_19kb_linear_ECE_26_1334_complete,linear_ece_19kb
