Ribosomal Proteins	contig	features	num features	organism	coverage	GC %	winner	winner phylum
ribosomal protein L1	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1922	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L10	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1526	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L11	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1110	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L13	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1466	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L15	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_249	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L18	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1465, FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_246	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L2	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_230	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L22	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_232	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L23	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_229	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L24	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_238	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L29	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_234	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L3	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_227	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L30	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_248	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
ribosomal protein L4	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_228	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
