name,taxonomy,bin_length,gc_percent,coverage,curation_status,completion_status,metagenome_id,normalized_coverage,domain
SR-VP_05_06_2024_ck_bottom_metabat2_263,Bacteria,4342808.0,50.07,10.5,Uncurated genome,near complete,ck_bottom,-0.10742904807255504,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_2625_sub,"Nitrospirae, Bacteria",3400996.0,46.35,12.68,Uncurated genome,near complete,ck_bottom,0.08122164377304708,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_248,Bacteria,3050686.0,57.82,15.97,Uncurated genome,near complete,ck_bottom,0.3119076569908885,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_247,"Nitrospirae, Bacteria",3173588.0,46.8,30.78,Uncurated genome,near complete,ck_bottom,0.9680608231747003,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_24305,Archaea,648105.0,44.26,4.19,Uncurated genome,partial,ck_bottom,-1.0261035713019862,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_2413,Archaea,642235.0,46.28,7.42,Uncurated genome,near complete,ck_bottom,-0.45462524805674365,Archaea
SR-VP_05_06_2024_ck_bottom_metabat2_2394,Bacteria,4086661.0,61.88,7.22,Uncurated genome,near complete,ck_bottom,-0.4819493523312979,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_2367,"Nitrospirae, Bacteria",3381345.0,49.95,12.93,Uncurated genome,partial,ck_bottom,0.10074588754773339,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_23650,Bacteria,4120581.0,56.85,5.79,Uncurated genome,partial,ck_bottom,-0.7026720136511289,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_23557,"Omnitrophica, Bacteria",1266326.0,48.04,4.12,Uncurated genome,partial,ck_bottom,-1.0429511418745976,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_23349,"Woesebacteria, Microgenomates, Bacteria",591565.0,38.42,4.56,Uncurated genome,partial,ck_bottom,-0.941481681709738,Bacteria
SR-VP_05_06_2024_ck_bottom_metabat2_28,"Acidobacteriales, Acidobacteriia, Acidobacteria, Bacteria",4589601.0,59.89,37.65,Uncurated genome,near complete,ck_bottom,1.16952864900987,Bacteria
