,uniparc_id,original_id,uniparc_version,description,pdb_chain,pdb_id,gmgc_id,mgnify_id,pdb_assembly,database
0,A0A345MYA4,A0A345MYA4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
1,A0A8S5V634,A0A8S5V634_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
2,B3GAL5,B3GAL5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
3,A0A8S5UKR1,A0A8S5UKR1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
4,A0A894JLK4,A0A894JLK4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
5,Q6Q0J1,Q6Q0J1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
6,A0A6J5MA74,A0A6J5MA74_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
7,A0A1X9VNW4,A0A1X9VNW4_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,,,,,,,,UniParc
8,A0A5K0UAK9,A0A5K0UAK9_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
9,A0A7G8LRL9,A0A7G8LRL9_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
10,A0A0G2Y190,A0A0G2Y190_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
11,A0A3G4ZLE4,A0A3G4ZLE4_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
12,A0A345MR48,A0A345MR48_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
13,A0A4D5XEZ6,A0A4D5XEZ6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
14,UPI001F13D714,UPI001F13D714_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,,,,,,,,UniParc
15,A0A0K1Y7P8,A0A0K1Y7P8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
16,A0A1V0SL68,A0A1V0SL68_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
17,A0A5J6VI98,A0A5J6VI98_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
18,A0A0M4JTD0,A0A0M4JTD0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
19,A0A7D4VS28,A0A7D4VS28_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
20,H6WFX2,H6WFX2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,,,,,,,,UniParc
21,A0A481YZH0,A0A481YZH0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,,,,,,,,UniParc
22,A0A481YTC7,A0A481YTC7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,,,,,,,,UniParc
