Archaeal SCG	contig	features	num features	organism	coverage	GC %	winner	winner phylum
CCA-adding enzyme	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1182	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
DNA-directed RNA polymerase	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_221	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
DNA-directed RNA polymerase subunit N	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1469	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Dimethyladenosine transferase	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1764	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Diphthamide biosynthesis protein	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_960	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_795	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Glycyl-tRNA synthetase	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_506	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
KH type 1 domain protein	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_2200	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Methionyl-tRNA synthetase	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1653	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Non-canonical purine NTP pyrophosphatase	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_2308	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
PUA domain containing protein	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_275	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Phenylalanyl-tRNA synthetase alpha subunit	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1363	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Phenylalanyl-tRNA synthetase beta subunit	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_576	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Pre-mRNA processing ribonucleoprotein	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_830	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Prolyl-tRNA synthetase	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1277	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Protein pelota homolog	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1801	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
Ribosomal protein L10e	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete	FINAL_2-50MB_Methanoperedens_SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_44_8_complete_1526	2843	SR-VP_07_25_2022_A1_90cm_PACBIO-HIFI_Black_host_Methanoperedens_contigs_Illumina_by_Np_final_44_1	1.0	44.04	Black_host_Methanoperedens_contigs_Illumina_by_Np_final (74.53)	Euryarchaeota
