,host_genome_id,symbiont_genome_id,host_relative_abundance,symbiont_relative_abundance,location,pair_id
0,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_bottom.concoct.162,0.4010896,0.050643086,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_bottom.concoct.162
1,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_bottom.maxbin2.141_sub,0.4010896,0.040744293,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_bottom.maxbin2.141_sub
2,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_bottom.metabat2.223,0.4010896,0.20488283,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_bottom.metabat2.223
3,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_bottom.metabat2.2860,0.4010896,0.08085966,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_bottom.metabat2.2860
4,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_bottom.metabat2.4173,0.4010896,0.070852876,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_bottom.metabat2.4173
5,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_middle.concoct.40,0.4010896,0.033503402,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_middle.concoct.40
6,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_middle.maxbin2.253,0.4010896,0.022443326,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_middle.maxbin2.253
7,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_middle.metabat2.66,0.4010896,0.07021285,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_middle.metabat2.66
8,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_middle.vamb.23306,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_middle.vamb.23306
9,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.concoct.268_sub,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.concoct.268_sub
10,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.metabat2.22730,0.4010896,0.01269778,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.metabat2.22730
11,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.metabat2.38630,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.metabat2.38630
12,SR-VP_05_06_2024_N_bottom.metabat2.1582,SR-VP_05_06_2024_N_top.metabat2.43498,0.4010896,0.0,bottom,SR-VP_05_06_2024_N_bottom.metabat2.1582:SR-VP_05_06_2024_N_top.metabat2.43498
